label	text_a
餐饮	刀鱼中段
乳品	晨光酸牛奶饮品240g*1瓶
家居	8822中雅名典大圆匙
个护	250ML舒客专效清新漱口水清凉薄荷
玩具	50127卓峰扇子
家居	三好印花靠垫小号B
休闲食品	老周八方来福礼盒1.1kg
家居	爱仕达六保险T型压力锅JXT7522
美妆	韩束护肤品化妆品套装女面膜补水保湿紧致聚时光鎏金臻颜礼盒七件套洁面乳水乳霜精华眼霜
办公	宏翔彩A4纸
家居	欧润哲收纳篮脏衣服收纳白色长方形塑料脏衣篮
个护	索芙特汉方养护清爽去屑洗发露200g
乳品	哈根达斯京秋邀月冰淇淋月饼券中秋送礼教师节送礼定制IP款-Dimoo
家居	苏泊尔supor锋刃系列Ⅱ七件套菜刀厨房刀具
家居	火石
酒饮冲调	张裕红酒星盾窖酿2年橡木桶蛇龙珠S602干红葡萄酒750ml双支红酒礼盒
乳品	德质Volksmilch德国进口草莓味脱脂牛奶  240ml* 8瓶装 整箱
家居	One'sMember天然有机棉方巾绿色条纹小毛巾挂式纯棉吸水四方厨房儿童全棉家用
家居	顺祥5.75寸抗菌瓷波士顿碗清新物语
家居	苏泊尔不锈钢汤锅2.5L电磁炉通用
家居	双枪 铁木筷10双*1包
餐饮	大嘴风干鸡
家居	TNG1505爱仕达不锈钢水壶
家居	樱花之韵爱心型筷子架
餐饮	大嘴特价熟食4
休闲食品	嘉顿威化饼干香橙味 200g
休闲食品	T70G上好佳草莓味粟米条
乳品	君乐宝涨芝士啦梦幻盖芝士莓果酸奶250g*10礼盒装
个护	丝域养发玫瑰精油洗发水氨基酸无硅油洗发露300ml
酒饮冲调	180G麦德滋龙口粉丝
健康食品	江中猴姑红枣红豆红糖酥性饼干720g饼干零食
家电	DG-B630利仁电热锅
家居	庆展厨典系列圆漏K027-3
休闲食品	添乐卡通王多啦A梦草莓味200g
个护	120G云南三七牙膏舒爽薄荷
粮油速食	2960G喜旺团圆礼肉礼盒
粮油速食	500G乐林现切澳洲羔羊
家居	炫布8053男士三角内裤
休闲食品	出前一丁即食面-香蒜照烧鸡
家居	凡本时尚四件套
酒饮冲调	雪花SNOW马尔斯绿8度500ml*12听整箱装
办公	广博A4双色档案袋P0009
酒饮冲调	伊奥丽苹果味啤酒 以色列原装进口 果味啤酒330ml*4瓶
健康食品	中粮山萃即食燕窝孕妇冰糖燕窝礼盒装500g
休闲食品	T300G金斯泊北海道蛋糕酸奶味
办公	修正带912
粮油速食	太古小粒优级黄冰糖1kg烘焙原料冲饮调味百年品牌
母婴	小火车宝宝鳕鱼肠300g
酒饮冲调	喜茶暴柠茶 浓暴柠柠檬粤红果汁茶饮料450ml*3瓶
美妆	兰蔻菁纯柔雾哑光唇膏888# 3.4g化妆品莓果色小野莓口红显白不挑皮礼盒礼物送女友
酒饮冲调	吾尚益菌多原味乳酸菌饮料100ml*20瓶整箱
水产	水鲜缘 海鲈鱼原条500g*1袋
玩具	417娃娃
休闲食品	雪海梅乡绿葡萄干165g
健康食品	桃生源糖水杨梅425G
酒饮冲调	500ML李锦记精选生抽
家居	053018茶花欧铂兹锐享不锈钢保温杯
粮油速食	900G三全椒盐手抓饼
酒饮冲调	450ML梁汾金龙鱼三年老陈醋5度
粮油速食	600G桂香斋五香扒鸡
鞋靴箱包	T2168米米号中童凉鞋
母婴	可靠COCO吸收宝护理垫尺寸:80cm*150cm10片装孕妇产褥垫成人老年人隔尿垫新生婴儿一次性床垫
酒饮冲调	500ML53度习酒十二兽首生肖酒
酒饮冲调	冠生园紫云英蜂蜜早餐牛奶代餐伴侣428g
粮油速食	白玉豆腐水饺白菜猪肉700ｇ28只
粮油速食	双汇福70g*10
酒饮冲调	珍津五香粉40g
酒饮冲调	珍津五香粉22g
休闲食品	三只松鼠臭豆腐香辣味120g/袋
酒饮冲调	威龙全汁红葡萄酒 1000ml
鞋靴箱包	鑫卡迷多320-1女式运动鞋
蔬菜	彩蛙
玩具	奥特曼儿童玩具3D卡通立体贴纸泡棉贴幼儿园小红花奖励贴纸奥特曼卡片贴纸4张
家居	特百惠Tupperware890ml防漏大油壶酱醋调味壶密封不滴油颜色随机
鞋靴箱包	波米雷特铝框拉杆箱20寸
礼品	贺卡
家居	佳佰裤夹子裙夹配套裤夹子PVC浸胶6支装灰色2H181
粮油速食	232G南街村低辣火鸡面
休闲食品	嘉士利饼干蛋糕巧克力味454g/袋
清洁	护舒宝超净棉丝薄量多日用/夜用16片装
个护	马丁男士身体沐浴香皂洗脸肥皂男沐浴洗发硫磺皂140g
水产	健康轻食禧美厄瓜多尔白虾净重1.8kg/盒超大号75-90只盐冻大虾生鲜海鲜水产
家居	雅诚德皇爵清滢秀色203mm汤盘
个护	50G相宜本草红景天幼白抗氧修颜乳本草BB
服饰内衣	双星女鞋6032
休闲食品	Tarami 魔芋白桃味果冻150g*1袋
家居	美拉尔内裤3033
玩具	欣格科学实验套装儿童玩具小学生实验材料器材手工diy材料包268个
办公	强林费用报销单
家居	TLK-2825龙士达700ML正方玻璃保鲜盒
粮油速食	蜀大侠 重庆小面麻辣味104g*1桶
休闲食品	吉利微波玉米花120g
家居	永春打底裤9195
酒饮冲调	290G恩济堂百草秋梨膏
水果	水果码头Fiesta/菲爱菲律宾进口凤梨大果1个装单果1300-1500g
粮油速食	川娃子调味酱蒜蓉辣椒酱下饭菜拌面拌饭酱剁椒酱双椒酱230g
酒饮冲调	CJ美醋碳酸青苹果醋饮250ml
鞋靴箱包	迪士尼护脊保健按摩简易书包RB0500B
家居	清清美彩条吸管
休闲食品	香雪全麦鸡蛋面200g
粮油速食	美好 嫩滑牛肉片 150g 火锅食材生鲜 牛肉火锅配菜烧烤烫煮麻辣烫餐饮 冷链配送
粮油速食	三泉 气泡冷面蔬菜口味672g*1盒
家居	佳佰陶瓷马克杯咖啡城堡月亮
休闲食品	时空坚果甘栗仁60g*2袋
家居	D38迪乐贝尔轻步运动摇摇杯
家居	焙印原色咖啡过滤纸100片101V形2800V形
个护	全棉时代卫生巾奈丝公主全棉芯日夜套装2盒装
休闲食品	192G奥利奥双心脆16条-草莓味
家居	墨斗鱼 玻璃菱形花瓶白色2876 玫瑰百合富贵竹花器 客厅茶几书桌电视柜书柜家居装饰品摆件
酒饮冲调	明臣六个红枣礼盒240ml*12
酒饮冲调	泸州老窖特曲52度三两三浓香型高度白酒165ml*6瓶2018版礼盒装
蔬菜	有机韭菜250g*1袋
粮油速食	1.8L*4鲁花礼合.
酒饮冲调	280G银鹭好粥道玉米粥
粮油速食	上海鹏程豆沙味单只月饼
休闲食品	越南进口Lipo椰子味面包干300g
家电	利仁Liven电饼铛家用智能双面加热28mm加深烤盘煎饼烙饼锅煎烤机三明治早餐机LR-D9285J
乳品	150G君乐宝嚼吧燕麦粒风味酸牛奶
餐饮	双汇玉米热狗40g
粮油速食	聚怀斋云台山特产松花蛋10枚*65g家庭装五里源松花蛋无铅工艺鸭蛋皮蛋变蛋伴手礼产地直供
休闲食品	买一送一稻香村至尊饼礼月饼800g
休闲食品	旺旺家庭装碎碎冰78ml*8
乳品	小贝勒MiniBabybel瑞士口味奶酪高钙休闲零食100g/5粒装
休闲食品	日本进口波路梦什锦曲奇饼干60枚礼盒装310g早餐点心
母婴	小白熊手动电动吸奶器配件吸力真空阀门09506
办公	T支款单
个护	狮王细齿洁牙缝刷极细ss*8支装L型可重复使用
家居	1185英派条纹牙具盒
清洁	蓝月亮亮白增艳专业机洗+手洗洗衣液套装5kg
酒饮冲调	洋河海之蓝480ml
肉禽蛋	自制猪皮冻
酒饮冲调	银标和酒555ml*1瓶
办公	得力皮卷尺12个/卡8213
办公	2509小怪才几何算盘
美妆	香奈儿Chanel山茶花保湿精华水滋润150ml送女友送老婆
家居	乐扣乐扣塑料水杯学生儿童水杯子-灰黑色680Ml
个护	妇炎洁内裤专用洗涤液90ml本草温和抑菌内衣洗衣液男女通用
家居	施密特四叶草杯ST-038-09A
家居	L-7139禧天龙收纳篮
母婴	佳贝艾特悦白幼儿配方羊奶粉3段400克荷兰原装进口
粮油速食	T750ML众喜核桃油
休闲食品	全亮开心果250g
清洁	索芙特木瓜净透养肤皂100g
家居	宜洁一次性多变吸管餐具卫生艺术吸管50只装
粮油速食	悦谷百味熟白芝麻200g
个护	贝医生 清洁护理牙线棒元气西柚 80支*1包
酒饮冲调	448ML*2崔字香油礼合
母婴	70g纳爱斯伢牙乐儿童蜜桃魔法师营养牙膏
办公	齐心A4长押夹纸质
酒饮冲调	悦和黑加仑葡萄混合果汁300ML
水产	华光青虾仁
粮油速食	展艺千层皮预拌粉250g
个护	雅滋美特去屑清爽洗发乳200ml
休闲食品	56G40粒薄荷味益达木糖醇
家居	H-0284花漫多耐用梳子
粮油速食	随变旋顶杯酸奶蓝莓
水果	泰国进口山竹4A级中果净重2.5kg新鲜水果
办公	喜博超软笔记本25-46混
服饰内衣	森鹅女上衣7219、5219
美妆	一叶子洗面奶樱花瑰蜜粉润洁面乳100g
家居	雅鹿自由自在床单单件床罩单件单人床垫保护罩1.2米床160*230cm巴洛克灰
个护	T750ML蜂花润泽修护香氛洗发露
玩具	333-511帮帮龙
粮油速食	1000G陈克明麦芯挂面中宽
粮油速食	米婆婆 酒酿400g*1盒
办公	喜羊羊PVC软包装造型橡皮4530
个护	750G蒂花之秀盈蔻鱼子酱精油沐浴乳梦幻沁
母婴	80G郁美净蓝莓洗面奶
母婴	600ML小浣熊儿童洗发沐浴露二合一
酒饮冲调	味好美鲜辣味粉10g
个护	Libresse薇尔*泡泡玛特IP联名款裤型卫生巾5包 L码*3片*5包 薇尔安睡裤
休闲食品	达利园散称蛋糕
休闲食品	波力海苔原味30g
餐饮	美团肉夹馍
家居	双鹿碱性5#8粒卡
母婴	大王GOON维E纸尿裤NB102片≤5kg
清洁	绿劲餐具净柚子金桔1.28kg×2洗洁精妈妈1选
办公	T1696得力胶套本花拾光
服饰内衣	奥美芬内衣2
粮油速食	315G螺霸王水煮型麻辣螺蛳粉
服饰内衣	锦衣秀080款男士棉裤
家居	仁义4098袋装牙签
礼品	光头强枪8010
家居	真想您内裤0199
家居	乐扣乐扣LOCK&LOCK 焖烧壶闷烧罐不锈钢白色
酒饮冲调	125G金怡神原味黑糖
家电	苏泊尔球釜微压智能电饭煲4L40FC9033Q
休闲食品	阿里山散称葡萄干
清洁	小林制药杀菌消臭喷剂250ml
母婴	小火车韩国进口零食鱼肠宝宝鱼肉火腿肠智慧虾味鳕鱼肠105g
酒饮冲调	獭祭四割五分纯米大吟酿1.8L*1瓶
个护	F960倍加洁酷爽亮白型牙刷促销装
办公	FSS91303晨光米菲学生剪刀
家居	美的电饭煲MB-FZ4082B
清洁	超威无烟田园荷花小盘5双盘*48
酒饮冲调	康师傅水蜜桃水果饮品
清洁	LR012丽邦面巾纸300张4层
蔬菜	白豆蔻10g*1份
家居	嘉顺8#黑瓷煲1.7L
家居	超人毛球修剪器SR 2855
办公	小白点直液式0.38走珠笔
母婴	安可新儿童口罩一含熔喷布粉色中号3-8岁
酒饮冲调	280G银鹭好粥道薏仁红豆粥
粮油速食	康师傅方便面雪菜肉丝煨面12桶桶面泡面整箱装休闲零食
家居	意邦洁地王易夹平拖
个护	6G冰点水润滋养男士润唇膏保湿
粮油速食	圣农香煎大鸡排原味135g*1袋
家居	12寸裕行流星花园方鱼盘
休闲食品	2431G德芙士力架牛巧紫薯威化
粮油速食	云南纸皮核桃
母婴	150ML史努比水光云喷雾
个护	700ML舒肤佳沐浴露优惠装
粮油速食	大汉口湖北武汉热干面920g八连包
家居	刷新家纺AB版被罩2.2*2.4
休闲食品	甜甜乐星球杯怀旧小吃巧克力杯桶装巧克力酱+饼干粒390g
酒饮冲调	双沟银柔和42°450ml
个护	今晨牙刷8002
家居	三月三图文纸巾盒正方形13CMZJH02
家居	雅诚德富贵年华101mm炫纹和意四方碟
家居	浪莎袜1227
家居	妙洁钩乐基本型不留痕挂钩
玩具	猫贝乐绘画启蒙涂色书儿童玩具亲子diy手工幼儿园宝宝画笔涂鸦填色绘本画画工具24本礼品
水果	芦柑
粮油速食	清香园酒酿饼
酒饮冲调	1500G捷氏燕麦片
粮油速食	健士牌德国风味图林根香肠400g全程冷链德式烤肠香肠火腿肠早餐食材热狗肠囤货必备
酒饮冲调	弗林博格原弗伦斯堡Flensburger 金啤酒330ml*6瓶装 德国原装进口
服饰内衣	三枪舒肤弹力棉长袖男套22047XL
办公	得力8555彩色长尾夹
休闲食品	32G伊利草莓味牛奶片
乳品	蒙牛纯甄常温风味酸牛奶燕麦+黄桃200g*10酸奶礼盒装
服饰内衣	小核桃21439拼接拉条蚕丝棉裤
母婴	妙思乐洗发沐浴露500ml二合一法国原装进口
家居	XH-781新华四格台式调味盒
办公	s得力74842手抄报A4
休闲食品	洽洽 藤椒味瓜子98g*1袋
服饰内衣	瓜籽儿糖90-130中童校园棉袄
休闲食品	竣怡香蕉味巧克力棒36g
粮油速食	川宝非转基因食用油小榨纯香四川菜籽油5L
家居	健将盒裤85502
家居	华冉34CM调味盒
家居	运隆YL-014217宫廷风格托盘
家居	茶花收纳箱中号衣服整理箱子储物箱35L3支装
个护	云南三七专效清火去口气牙膏160g
休闲食品	1118G旺旺礼旺意更旺大礼包
休闲食品	原野散称纸皮核桃
家居	T6.5英寸顺祥小时代鼓形碗
家居	彩花壳保温瓶JMM-2000
母婴	400G伊利金领冠较大婴儿配方奶粉
清洁	100G超威西兰香樽意式浪漫鲜柠
粮油速食	太古单晶冰糖1kg
粮油速食	十月稻田五常大米稻花香5kg
办公	投票箱小号
玩具	7076方向盘
香烟	利群西子阳光烟
健康食品	青源堂人参七雄茶525g五宝茶升级版
酒饮冲调	汉口二厂励志汽水含气荔枝饮料果汁碳酸饮料气泡水275ml*12瓶整箱
宠物	千羽 卡通织唛拉颈带1.5cm*1个
粮油速食	寿桃牌非油炸方便速食好面天天煮拉面1750g
休闲食品	112G法丽兹号吉巧克力麦芽饼
粮油速食	今磨房散装南瓜子
水产	自营牛肉酱
粮油速食	金锣道地肠原味200g*3袋
休闲食品	108G品品牛板筋烧烤味
休闲食品	良品铺子苏打饼干咸味芝士味128g
家居	乐扣乐扣缤纷保温杯LHC4015BLK390ml黑色
清洁	40ML*2立白超威电热蚊香液无香型
办公	四方伙伴72K彩虹线环
酒饮冲调	迈坡经典系列赤霞珠美乐红葡萄酒750ml*1瓶
美妆	怡丽丝尔ELIXIR优悦活颜水乳护肤套装滋润型水+乳
粮油速食	塞翁福 黑芝麻250g*1袋
休闲食品	林富记综合水果味软糖越南进口水果糖橡皮糖QQ糖480g
酒饮冲调	青岛啤酒白啤5+1礼盒 330ml*6瓶
家居	V0530花漫多皮筋
办公	独角鹿DJ13-20001折纸
香烟	娇子硬X
酒饮冲调	500ML52度牛栏山绿瓶白酒
休闲食品	澎渤康趣奶酪酥110g*1袋
香烟	黄鹤楼祝福
清洁	爱特福84消毒液518ml
粮油速食	百利berry黑醋洋葱油醋沙拉汁家庭调味拌面下饭沙拉酱250g
母婴	帮宝适超薄干爽绿帮拉拉裤XXL5015kg以上
酒饮冲调	山萃中粮每日藜麦坚果混合麦片礼盒装35g*20袋
粮油速食	150G鲜溢鲜虾滑
粮油速食	清香园意大利馅饼
休闲食品	喜之郎果汁果冻爽菠萝味150g
健康食品	集味家园桃酥牛奶味180g
服饰内衣	林雅妃依女装
乳品	兰雀奥地利酸奶黄桃味200g*24盒
粮油速食	散称麦仁米仁S
家居	烫金专版餐垫
办公	小足球1402橡皮
休闲食品	真心山楂罐头680g
肉禽蛋	享安心鲜鸡翅中600g*1盒
家居	休闲者内衣
休闲食品	75G宾堡多菲角蛋奶口味面包
家居	V0635花漫多喷雾分装瓶
美妆	法国依泉Uriage柔润护唇膏两支装滋润保湿润唇膏
玩具	129恐龙化石
清洁	尚岛宜家 540只装 中号加厚点断式垃圾袋45*50cm*30卷 平口黑色一次性垃圾袋
个护	210G三金西瓜霜经典护龈牙膏
家居	双枪Suncha擀面杖竹制压面棍擀面条竹棒60cmGM1160
休闲食品	趣多多软式曲奇饼干蔓越莓抹茶味12包独立装共320g
玩具	0571积木
母婴	惠氏启赋蓝钻1段810g
家居	T裕行秋之恋8英寸梅花盘
服饰内衣	若男佳人上衣RN-3018
家居	佳佰电陶炉+玻璃壶套装煮茶器耐热玻璃提梁泡茶壶功夫茶具套装蒸煮双内胆电陶炉套装
休闲食品	雅觅年货大礼包酥香门第雪花酥年货礼盒圣诞节元旦新年货过年送礼团购礼物大礼包
休闲食品	日本进口松永盐味苏打饼干300g品
家电	人杰毛球修剪器8258
家居	BDSH01-220邦达-尚真空暖水瓶
玩具	N-FZD猜拆乐
服饰内衣	福惠053款女裤兴隆
休闲食品	洽洽海盐瓜子新口味葵花籽休闲零食小吃108g
粮油速食	新雅大厨荠菜腐衣百叶包225g速冻菜肴速食方便菜半成品菜猪肉午餐晚餐夜宵
玩具	C峰行眺记扑克
钟表配饰	AppleWatchSeries6智能手表GPS+蜂窝款44毫米金色米兰尼斯表带M09G3CH/A
酒饮冲调	88G吉香居海带丝野山椒味
水果	新鲜桑葚125g
粮油速食	360G湾仔码头彩珠香糯组合装汤圆
酒饮冲调	品得富铁观音礼盒3
办公	S添美16K8022胶套本
肉禽蛋	中排Y
粮油速食	统一藤娇藤椒牛肉面105g*12桶
酒饮冲调	375ML名仁6个柠檬水饮料
酒饮冲调	天厨味精500G
乳品	伊利 偏爱 红豆绿豆口味 雪糕冰淇淋冰激凌 75g*6支*2盒
粮油速食	雨润王中王80g
家居	兄华内衣
办公	得力65350相册5寸
家居	HL7508焕龙压圈垃圾桶圆形
休闲食品	姚太太山楂果蔬粒80g
服饰内衣	铭丝鸟男装04980
粮油速食	刀唛 压榨花生油3.5L*1桶
粮油速食	400G思念无糖花生汤圆
母婴	伊威宝宝零食婴幼儿辅食泡芙DHA泡芙饼干42g苹果味
个护	代尔梦得香薰美体乳80g
个护	潘婷强韧养根润发洗发露750ML
清洁	2.08KG雕牌除菌天然皂粉
办公	卡西欧MZ-12S计算器**
休闲食品	大连远洋休闲零食办公室零食大连特产小鱼鱼仔黄花鱼香酥小黄鱼250g
乳品	风车牧场比利时原装进口有机全脂纯牛奶3.7g乳蛋白高钙儿童成人高钙牛乳1L*12礼盒装
办公	宝克2MP-220记号笔
粮油速食	恒都国产菲力原切牛排套餐600g6-8片谷饲牛肉里脊牛排
粮油速食	中粮初萃古田银耳100g
个护	1L力士精油香氛沐浴乳幽莲魅肤
个护	第六感纤薄螺纹12只装
家居	5.5英寸万祥梦玲珑万祥直口碗
酒饮冲调	500ML可口可乐芬达茉莉蜜桃味汽水
家居	美丽雅 防变形洗护网袋圆柱型*1个
酒饮冲调	生龙糊汤米酒1L
家居	纤纤织女老粗布床单1.5*2.3米
家居	0768茶花五组五金U型挂钩
清洁	6连包纸护士医护本色软抽纸
健康食品	青源堂花胶鱼胶干货鳕鱼胶鱼肚鱼鳔150克礼盒
玩具	S-RJA百变换装秀
家居	小吉米袜204
休闲食品	德国进口 捷森黑麦面包500g*1袋
清洁	碧浪Ariel洁护如新洗衣液清雅茉莉香13斤
家居	三尖内裤3152
乳品	80G*3卡士YOKEPP自律生活版3联杯
玩具	鱼花灯9031
母婴	小皮LittleFreddie多口味儿童酸奶果泥欧洲原装进口西梅蓝莓樱桃酸奶泥吸吸袋100g*6袋
个护	池久牙刷T-1
清洁	雷达电蚊香片驱蚊器72片+无线加热器无香型电蚊香灭蚊
服饰内衣	狩猎者2192男士西裤
休闲食品	买一送一侨香村好运连连480g
母婴	480ML宝宝金水儿童柔肤营养洗手液橄榄+花
粮油速食	八合里海记手锤牛肉丸250g匠心之作潮汕火锅手打牛肉丸弹牙爽口鲜嫩好味食材品贯
粮油速食	双汇 Q趣香肠玉米味80g*1个
休闲食品	月山醉黄泥螺175g*6
乳品	中街1946牛乳口味冰激凌68g
粮油速食	大希地火山石烤肠猪肉烤肠方便速食热狗早餐肠火锅食材960g
玩具	圣诞泡沫五星8080
休闲食品	250ML九日欧巴熊芒果果汁饮料
粮油速食	伊赛孜然牛肉片150g*1袋
服饰内衣	福惠2731裤子兴隆
蔬菜	麦德滋黑香米卷子
休闲食品	麦德好燕麦巧克力营养早餐麦片燕麦棒原味468g
家居	地平线8号LEVEL8行李箱男拉杆箱登机箱女20英寸
肉禽蛋	鰼滋味贵州黄牛冷鲜腿肉250g*1盒
家电	悦刻幻彩1支装草莓雪冰30mg/g-中文版
水果	新疆小蜜蜂葡萄
休闲食品	德芙黑巧克力80g
休闲食品	康师傅妙芙蛋糕奶油味96g*1盒
酒饮冲调	晶瑞月子红糖350g
个护	140G黑人茶倍健花语白茶牙膏
休闲食品	百嘉宝蜂蜜绿茶500ml
办公	C全新卓越16K本
鞋靴箱包	正派皮鞋7536
母婴	青蛙王子儿童洗发水沐浴露二合一家庭装植萃草本1.1L*2瓶
酒饮冲调	280G银鹭臻养粥冰糖桂花马蹄粥
家居	妙洁B型厚实垃圾袋大号超值装
粮油速食	久久丫 原味鸭掌微辣120g*1盒
个护	潘婷染烫修护润发精华素400ml
个护	120G*3fe金典套包
休闲食品	5G金稻谷蟹钳手玩具糖
健康食品	福东海茶叶花草茶菊花茶60克/瓶枸杞金银花决明子茶
休闲食品	旺通葱油薄饼鸡香150g
酒饮冲调	加多宝凉茶310ml*1罐
母婴	子初多功能奶瓶清洁套装婴幼儿海绵奶嘴刷奶瓶刷吸管刷6件组
粮油速食	厨道纯芝麻油无添加凉拌调味烹饪火锅纯芝麻香油500ML
休闲食品	三只松鼠秋葵干秋葵脆40g/袋
酒饮冲调	杰克丹尼洋酒威士忌柠檬味预调酒鸡尾酒330ml*6瓶礼盒装
母婴	500ML舒肤佳儿童健康泡泡沐浴露清新小蓝
鞋靴箱包	雅琪兰小包H-8240
个护	五爱FA-399牙刷
家居	HL7246焕龙蝴蝶果皮桶
家居	彤可男士加肥沙滩裤
鞋靴箱包	SY-516世易男凉拖
粮油速食	258G中裕西红柿+蛋黄宝宝挂面
办公	熊出没SC5433 24色水彩笔
家居	康巴赫德国炒锅32cm少油烟无涂层精铁锅老铁锅
家居	焕龙压圈垃圾桶方形
水果	花牛苹果一袋800g
酒饮冲调	800ML海天陈醋
家电	京造绞肉机家用电动不锈钢多能小料理机绞馅机碎肉打肉机切菜搅拌机辅食机
酒饮冲调	拉图雷蒙格尼特750ml
母婴	405G伊利金领冠悠滋小羊较大婴儿配方羊奶粉
休闲食品	33G好丽友好多鱼海苔味
清洁	WS93218慕风卫生湿巾18片装
家居	WD3433味家锅垫
服饰内衣	欧林凯顿上衣1301
休闲食品	吉人无蔗糖葱油香酥800g
乳品	天友百特有机纯牛奶250ml*12盒礼盒装梦幻盖3.6g优质乳蛋白120mg原生高钙
服饰内衣	一拼郎2153男士棉衣
清洁	雕牌速溶快洁洗衣粉1.8kg
酒饮冲调	锐澳鸡尾酒宾治味275ml
个护	瑞柏嘉手柄化妆镜
服饰内衣	裴丽佳女装
乳品	雀巢呈真雪糕 巧克力脆皮牛奶味冰淇淋57g*6支装
酒饮冲调	可口可乐乌龙茶饮料唷茶系列冰摇白桃味480ml*15瓶整箱装
个护	冷酸灵炭黑净爽牙刷
办公	自封袋1
个护	10G冰点木瓜修护润唇膏
办公	S晶晶8843。24色轻泥盒装
酒饮冲调	王茅 祥雅 53度酱香型白酒 贵州茅台酒股份有限公司出品 500ml*6瓶整箱装
健康	瀚思一次性使用医用口罩10只蓝色
粮油速食	十月稻田东北黑木耳150g
粮油速食	久久丫微辣鸭肠75g*1盒
休闲食品	亨利玉米片375g
肉禽蛋	金亥猪筒骨800g*1袋
母婴	12423621198G雀巢钙铁锌营养米粉
酒饮冲调	400G鲁晶精制盐
休闲食品	雅之星美国开心果200g
休闲食品	申宁福家礼盒800g
餐饮	东郭烤鹅
酒饮冲调	永丰北京二锅头42度清香型白酒200ml*1瓶
粮油速食	三全醇香黑芝麻汤圆320g16只甜品甜点早餐
粮油速食	必品阁 传统甜辣炒年糕160g*1杯
粮油速食	龙一麻辣带鱼罐头207g麻辣小鱼仔户外速食下饭菜
酒饮冲调	立顿Lipton乌龙茶袋泡茶包1.8g*25
酒饮冲调	忆江南 红枣桂圆玫瑰枸杞茶320g*1盒
个护	100ML瑷露德玛芦荟紧致滋养水
粮油速食	北纯 有机黑豆360g*1袋
粮油速食	福临门 黄金产地玉米油900ml*1桶
酒饮冲调	古越龙山绍兴黄酒花雕酒3L桶装
清洁	初么抽纸餐纸手纸面巾纸温和不刺激300张*24包/箱装
家居	T环银0410大号S型双头挂钩
家居	张小泉华子系列刨皮刀优雅蓝
清洁	百家好世一次性手套加厚材质卫生防漏手套100只装*2包
酒饮冲调	外星人KPL王者荣耀限定款荔枝海盐味500ml*15瓶整箱装新老包装随机发
水果	阳光玫瑰葡萄/提子 香印青提 原箱2kg装 2-3串/箱 新鲜水果
家居	T裕行快乐童年4.5寸面碗
家居	五月花8磅塑壳保温瓶WS-3024
休闲食品	楼兰蜜语坚果炒货干果零食开心果200g/袋
家居	永春袜1520
酒饮冲调	太太乐蘑菇精200G
服饰内衣	劳丽丝21003/21005款裤
休闲食品	EDO一口酥提拉米苏味80g
粮油速食	5L喜燕非转基因大豆油
家居	水中飘泳衣
美妆	SK-II男士焕活保湿洗面奶120g
家居	栖熙优品M120混纺毛巾
蔬菜	南瓜球缸含底座
休闲食品	益达摇益摇蜜瓜味70粒
服饰内衣	金旗舰女装01580
家居	酷可内裤5553
粮油速食	香纳兰进口珍品香米2.5kg*1袋
休闲食品	波路梦 豆奶味威化饼干棒86.4g*1袋
服饰内衣	鑫祥盛女装
休闲食品	184G徐福记香橙酥
餐饮	馒头 1
3C数码	亚太森博拷贝可乐80gA4复印纸打印纸双面打印500张/包*5包/箱2500张百旺系列
水产	国联水晶虾饺1kg38-40只马蹄口味袋装广式早茶早餐点心
粮油速食	杨大爷广味腊肠甜味小香肠90g
休闲食品	西域之尚休闲零食蜜饯果干新疆特产黑椰枣500g/袋
餐饮	卤公鸡
酒饮冲调	200ML百龄坛特醇威士忌
服饰内衣	欣丽透明带塑料扣
家居	XB-20136希乐乐动跳盖运动壶
鞋靴箱包	T易途315-3小童凉拖
家居	中国结PD8845竹纤维毛巾34*76
酒饮冲调	好想你 清菲菲红枣湘莲银耳汤26g*1杯
家居	普利诗盒裤9350
服饰内衣	鑫祥盛
乳品	255ML新希望琴牌今日鲜奶铺牛乳
清洁	哩头LITTLE TOUCH 除菌驱虫喷雾350ml
办公	齐心A4双强力夹1
清洁	心相印200抽茶语盒抽*3
3C数码	得力10只75mmA4加厚PP粘扣文件盒档案盒资料盒凭证文件收纳盒财会用品27037蓝色
办公	广博订书机DSJ7858重型省力
休闲食品	长思散称黑糖阿胶蜜枣
家居	TQFY-1917全福元厚实垃圾袋
玩具	2805百变校巴
休闲食品	25G小渔歌美食大冒险唛乐草莓番茄味薯条
鞋靴箱包	SY-265世易中童室内棉拖
清洁	雷达蚊香防蚊40盘*14g檀香型蚊香盘盘香驱蚊灭蚊
家居	TKZ2014双枪含香木中华筷
粮油速食	吉得利0脂肪蒜蓉酱辣椒酱280g/瓶健身调味凉拌蔬菜下饭酱拌面酱生蚝扇贝粉丝烧烤酱
服饰内衣	汤尼杰郎休闲装1002
清洁	帮宝适特级棉柔拉拉裤大号女21片
酒饮冲调	50ML禄荣芥末油
办公	广博A2054文件夹双中国红
办公	广博PJ5231筒装黑色长尾票夹
粮油速食	印象火山 胡麻油1L*1瓶
清洁	哈里贝贝80片婴儿手口柔湿巾
酒饮冲调	川南麻辣萝卜干53g
粮油速食	散称芝麻条
家居	雅诚德皇爵清滢秀色127mm杰奥高脚碗
休闲食品	y亚星可口酥
休闲食品	43.5G小小谢冰淇淋脆筒
